tick,t_sec,loop_dt_ms,infer_ms,history_valid,history_full,control_enabled,single_obs,raw_action,desired_abs,clipped_abs,cmd_sent_abs,cmd_minus_pos,cmd_delta,max_track_err,clamp_count,imu_fresh,motors_fresh,motor_pos_abs,motor_vel_abs,motor_torque
0,1.92e-07,0.000192,1.00095,10,1,1,"0,-0,0,0.01157,-0.00390541,-0.999925,0,0,0,0.00229537,0.0069114,0.00614369,-0.00844586,-0.019328,0.00215447,0.00436676,-0.00522339,-0.0356165,-0.0340055,0.0351559,0.0351559,-0.143009,0.050354,0.17255,-0.136295,-0.00738525,0.0302124,-0.0302124,-0.0745239,-0.00120825,-0.0849828,0.068065,0.0294009,0,0,0,0,0,0,0,0,0,0,0,0","-0.128731,-0.0670445,-0.0658207,-0.0956746,-0.304256,-0.0421845,-0.0957315,0.221099,0.705734,0.0653422,-0.353601,-0.481565","0.337817,-0.386761,-0.386455,0.346081,0.053936,0.119454,-0.153933,-0.0747253,2.06113,1.79425,-1.91438,-1.96771","0.337817,-0.386761,-0.386455,0.346081,0.053936,0.119454,-0.153933,-0.0747253,2.06113,1.79425,-1.91438,-1.96771","0.37,-0.37,-0.37,0.37,0.13,0.13,-0.13,-0.13,1.76702,1.76702,-1.76702,-1.76702","-0.00229537,-0.0069114,-0.00614369,0.00844586,0.019328,-0.00215447,-0.00436676,0.00522339,0.0593727,0.0566871,-0.058605,-0.058605","0,0,0,0,0,0,0,0,0,0,0,0",0.0593727,0,1,1,"0.372295,-0.363089,-0.363856,0.361554,0.110672,0.132154,-0.125633,-0.135223,1.70765,1.71033,-1.70842,-1.70842","-0.143009,0.050354,0.17255,-0.136295,-0.00738525,0.0302124,-0.0302124,-0.0745239,-0.00201416,0.108093,0.113464,0.0490112","-0.11751,-0.344229,-0.283527,0.357718,0.79974,-0.102983,-0.218159,0.194813,2.42257,2.34008,-2.42983,-2.44747"
1,0.0200667,20.0665,0.800661,10,1,1,"0,-0,0,0.0115162,-0.00387687,-0.999926,0,0,0,0.00229537,0.0069114,0.00614369,-0.00844586,-0.019328,0.00215447,0.00436676,-0.00483906,-0.0356165,-0.0340055,0.0351559,0.0351559,0.0597534,-0.0355835,-0.145695,-0.118835,-0.112122,0.00201416,-0.0302124,0.195377,-0.0374559,0.0962599,0.0132908,0.0165128,-0.128731,-0.0670445,-0.0658207,-0.0956746,-0.304256,-0.0421845,-0.0957315,0.221099,0.705734,0.0653422,-0.353601,-0.481565","-0.11686,-0.0727658,-0.0437087,-0.0949011,-0.348101,-0.0707893,-0.0695174,0.186467,0.671326,0.0583825,-0.336846,-0.437235","0.340785,-0.388191,-0.380927,0.346275,0.0429748,0.112303,-0.147379,-0.0833832,2.0468,1.79135,-1.9074,-1.94924","0.340785,-0.388191,-0.380927,0.346275,0.0429748,0.112303,-0.147379,-0.0833832,2.0468,1.79135,-1.9074,-1.94924","0.369414,-0.370365,-0.370219,0.369524,0.128254,0.129645,-0.130349,-0.129065,1.77263,1.76751,-1.76984,-1.77068","-0.00288162,-0.00727645,-0.00636297,0.00796977,0.0175817,-0.00250959,-0.0047155,0.0057745,0.0649868,0.0571754,-0.0614219,-0.0622615","-0.000586241,-0.000365049,-0.000219285,-0.000476092,-0.0017463,-0.000355124,-0.000348747,0.000935435,0.00561416,0.000488281,-0.00281692,-0.00365651",0.0649868,0,1,1,"0.372295,-0.363089,-0.363856,0.361554,0.110672,0.132154,-0.125633,-0.134839,1.70765,1.71033,-1.70842,-1.70842","0.0597534,-0.0355835,-0.145695,-0.118835,-0.112122,0.00201416,-0.0302124,0.195377,-0.062439,0.0490112,0.0221558,0.0275269","-0.100389,-0.327627,-0.267963,0.341116,0.803371,-0.0910511,-0.20467,0.218678,2.43554,2.33126,-2.3987,-2.44176"
2,0.0401358,20.069,0.797429,10,1,1,"0,-0,0,0.0114089,-0.00381863,-0.999928,0,0,0,0.00229537,0.0069114,0.00614369,-0.00844586,-0.019328,0.00177014,0.00436676,-0.00522339,-0.0351559,-0.0340055,0.0351559,0.0351559,0.0812378,-0.0328979,0.0181274,-0.020813,0.0758667,-0.0476685,0.038269,-0.079895,0.142174,-0.00281926,0.119619,0.0334284,-0.11686,-0.0727658,-0.0437087,-0.0949011,-0.348101,-0.0707893,-0.0695174,0.186467,0.671326,0.0583825,-0.336846,-0.437235","-0.111078,-0.0754612,-0.0450301,-0.0857814,-0.357895,-0.0644603,-0.0716376,0.174566,0.662922,0.0423634,-0.34142,-0.429508","0.342231,-0.388865,-0.381258,0.348555,0.0405261,0.113885,-0.147909,-0.0863586,2.04329,1.78468,-1.90931,-1.94602","0.342231,-0.388865,-0.381258,0.348555,0.0405261,0.113885,-0.147909,-0.0863586,2.04329,1.78468,-1.90931,-1.94602","0.368885,-0.370757,-0.370452,0.369139,0.126409,0.129353,-0.130719,-0.128248,1.77811,1.76773,-1.77273,-1.7742","-0.00340992,-0.00766855,-0.00659552,0.00758514,0.0157369,-0.00241692,-0.00508556,0.00697497,0.0696933,0.0573957,-0.0643157,-0.0657891","-0.000528306,-0.000392109,-0.000232548,-0.000384629,-0.00184479,-0.00029166,-0.000370055,0.000816137,0.00547421,0.000220299,-0.00289381,-0.00352764",0.0696933,0,1,1,"0.372295,-0.363089,-0.363856,0.361554,0.110672,0.13177,-0.125633,-0.135223,1.70842,1.71033,-1.70842,-1.70842","0.0812378,-0.0328979,0.0181274,-0.020813,0.0758667,-0.0476685,0.038269,-0.079895,0.237003,-0.0409546,0.199406,0.0557251","-0.118547,-0.333334,-0.260181,0.340597,0.768093,-0.120104,-0.22646,0.251881,2.53048,2.33385,-2.53307,-2.51336"
3,0.0602053,20.0696,0.785333,10,1,1,"0.00213053,-0.00319579,0,0.011302,-0.00376066,-0.999929,0,0,0,0.00229537,0.00729477,0.00614369,-0.00844586,-0.019328,0.00177014,0.00475109,-0.00522339,-0.0340055,-0.0340055,0.034696,0.0344654,-0.0678101,0.156437,0.00201416,0.0785522,-0.0906372,-0.0758667,-0.0355835,-0.0973511,0.146201,0.0213458,-0.00684677,-0.0543714,-0.111078,-0.0754612,-0.0450301,-0.0857814,-0.357895,-0.0644603,-0.0716376,0.174566,0.662922,0.0423634,-0.34142,-0.429508","-0.101924,-0.0996171,-0.0443763,-0.0980186,-0.398685,-0.0597063,-0.0348138,0.182106,0.660592,0.0330117,-0.328673,-0.423274","0.344519,-0.394904,-0.381094,0.345495,0.0303288,0.115073,-0.138703,-0.0844735,2.04232,1.78078,-1.90399,-1.94342","0.344519,-0.394904,-0.381094,0.345495,0.0303288,0.115073,-0.138703,-0.0844735,2.04232,1.78078,-1.90399,-1.94342","0.368466,-0.371499,-0.370668,0.368525,0.123999,0.129101,-0.130524,-0.127259,1.78359,1.76785,-1.77527,-1.77764","-0.00382948,-0.00879413,-0.00681162,0.00697055,0.0133273,-0.0026688,-0.00527509,0.00796433,0.0732617,0.0575154,-0.0660847,-0.068074","-0.000419557,-0.000742197,-0.000216097,-0.000614583,-0.00240963,-0.000251874,0.000194803,0.000989363,0.00548625,0.000119686,-0.00253582,-0.00343597",0.0732617,0,1,1,"0.372295,-0.362705,-0.363856,0.361554,0.110672,0.13177,-0.125249,-0.135223,1.71033,1.71033,-1.70918,-1.70957","-0.0678101,0.156437,0.00201416,0.0785522,-0.0906372,-0.0758667,-0.0355835,-0.0973511,0.243717,0.0785522,-0.0114136,-0.0906372","-0.144487,-0.342154,-0.285084,0.281971,0.705837,-0.110765,-0.223866,0.281452,2.69598,2.36498,-2.5891,-2.57977"
4,0.080272,20.0667,0.776597,10,1,1,"0.00213053,-0.00426106,-0.00852212,0.0109806,-0.00358502,-0.999933,0,0,0,0.00229537,0.0069114,0.00576031,-0.00844586,-0.0197114,0.00138676,0.00436676,-0.00522339,-0.0328544,-0.0340055,0.0340055,0.0337755,-0.0678101,-0.0100708,-0.0302124,-0.00335693,0.0342407,-0.0490112,0.175236,0.0704956,0.0624265,0.055177,-0.0511494,-0.0108743,-0.101924,-0.0996171,-0.0443763,-0.0980186,-0.398685,-0.0597063,-0.0348138,0.182106,0.660592,0.0330117,-0.328673,-0.423274","-0.106323,-0.0894524,-0.0204121,-0.0720899,-0.418543,-0.0684501,-0.0249141,0.17431,0.649693,0.0388532,-0.386813,-0.425318","0.343419,-0.392363,-0.375103,0.351978,0.0253643,0.112887,-0.136229,-0.0864224,2.03778,1.78321,-1.92822,-1.94427","0.343419,-0.392363,-0.375103,0.351978,0.0253643,0.112887,-0.136229,-0.0864224,2.03778,1.78321,-1.92822,-1.94427","0.367866,-0.371795,-0.37041,0.368553,0.121601,0.128626,-0.1305,-0.126502,1.78875,1.76832,-1.77996,-1.78125","-0.00442907,-0.00870651,-0.00616995,0.00699916,0.0113121,-0.00276041,-0.00486673,0.00872144,0.0765027,0.0579869,-0.0696273,-0.0705321","-0.000599593,-0.000295758,0.000258297,2.86102e-05,-0.00239857,-0.000474989,2.40207e-05,0.000757113,0.00515974,0.000471473,-0.00469363,-0.00360823",0.0765027,0,1,1,"0.372295,-0.363089,-0.36424,0.361554,0.110289,0.131387,-0.125633,-0.135223,1.71225,1.71033,-1.71033,-1.71072","-0.0678101,-0.0100708,-0.0302124,-0.00335693,0.0342407,-0.0490112,0.175236,0.0704956,0.104065,0.0315552,-0.0852661,-0.0181274","-0.111803,-0.33956,-0.303761,0.306355,0.615564,-0.107134,-0.20882,0.304798,2.7572,2.39351,-2.63476,-2.69961"
5,0.10034,20.0675,0.779573,10,1,1,"-0.00852212,-0.0117179,-0.0191748,0.0105577,-0.0032139,-0.999939,0,0,0,0.00152767,0.0069114,0.00537694,-0.00882924,-0.0197114,0.00138676,0.00436676,-0.00522339,-0.0310134,-0.0335455,0.0323945,0.0326244,-0.0812378,-0.0691528,-0.079895,-0.0825806,-0.0167847,-0.11615,-0.200748,-0.0516968,0.197753,0.0414834,-0.056788,-0.0986764,-0.106323,-0.0894524,-0.0204121,-0.0720899,-0.418543,-0.0684501,-0.0249141,0.17431,0.649693,0.0388532,-0.386813,-0.425318","-0.128805,-0.0843953,-0.0122154,-0.0604483,-0.4193,-0.0762055,-0.00304758,0.185632,0.638903,0.0602507,-0.433413,-0.454601","0.337799,-0.391099,-0.373054,0.354888,0.025175,0.110949,-0.130762,-0.0835919,2.03328,1.79213,-1.94764,-1.95648","0.337799,-0.391099,-0.373054,0.354888,0.025175,0.110949,-0.130762,-0.0835919,2.03328,1.79213,-1.94764,-1.95648","0.366769,-0.372117,-0.370306,0.368484,0.119482,0.128088,-0.130076,-0.125343,1.79374,1.76954,-1.78514,-1.78603","-0.00475872,-0.00902843,-0.00568336,0.00731289,0.0091933,-0.00329836,-0.0044432,0.00987995,0.078416,0.0584399,-0.0721253,-0.0733948","-0.00109735,-0.000321925,0.000103205,-6.9648e-05,-0.00211878,-0.000537947,0.000423536,0.00115851,0.00498223,0.00121975,-0.00518358,-0.00478148",0.078416,0,1,1,"0.371528,-0.363089,-0.364623,0.361171,0.110289,0.131387,-0.125633,-0.135223,1.71532,1.7111,-1.71302,-1.71264","-0.0812378,-0.0691528,-0.079895,-0.0825806,-0.0167847,-0.11615,-0.200748,-0.0516968,0.329655,0.0691528,-0.0946655,-0.164494","-0.168871,-0.405966,-0.252918,0.284046,0.509727,-0.125292,-0.220234,0.346823,2.81219,2.34112,-2.64047,-2.73178"
6,0.120409,20.0697,0.799509,10,1,1,"-0.015979,-0.036219,-0.0266316,0.0096339,-0.00235982,-0.999951,0,0,0,0.00114429,0.0069114,0.00537694,-0.00844586,-0.0208625,0.00100338,0.00436676,-0.00522339,-0.0273315,-0.0333144,0.028943,0.0305535,-0.117493,-0.0718384,-0.0758667,0.0275269,0.00604248,-0.0785522,-0.0463257,-0.140324,0.147007,-0.0471219,-0.278306,-0.125258,-0.128805,-0.0843953,-0.0122154,-0.0604483,-0.4193,-0.0762055,-0.00304758,0.185632,0.638903,0.0602507,-0.433413,-0.454601","-0.125299,-0.0765786,-0.00889046,-0.0624651,-0.440708,-0.0832869,0.0122892,0.177885,0.655644,0.0956227,-0.443345,-0.479483","0.338675,-0.389145,-0.372223,0.354384,0.019823,0.109178,-0.126928,-0.0855287,2.04026,1.80687,-1.95178,-1.96684","0.338675,-0.389145,-0.372223,0.354384,0.019823,0.109178,-0.126928,-0.0855287,2.04026,1.80687,-1.95178,-1.96684","0.366228,-0.372305,-0.370268,0.36812,0.116734,0.127493,-0.12963,-0.124645,1.79992,1.77182,-1.78927,-1.79108","-0.00491607,-0.00921658,-0.00564456,0.00656551,0.00759615,-0.0035105,-0.00399682,0.0105781,0.0784621,0.0603335,-0.0704954,-0.0749934","-0.000540733,-0.000188142,3.88026e-05,-0.000364006,-0.00274824,-0.000595525,0.000446379,0.000698194,0.00618398,0.00227892,-0.00412357,-0.0050509",0.0784621,0,1,1,"0.371144,-0.363089,-0.364623,0.361554,0.109138,0.131003,-0.125633,-0.135223,1.72146,1.71148,-1.71877,-1.71609","-0.117493,-0.0718384,-0.0758667,0.0275269,0.00604248,-0.0785522,-0.0463257,-0.140324,0.24506,-0.0785522,-0.463936,-0.208805","-0.179766,-0.406485,-0.239948,0.294422,0.441246,-0.157976,-0.190144,0.385733,2.73437,2.30532,-2.61349,-2.76187"
7,0.140488,20.079,0.804117,10,1,1,"-0.0426106,-0.0479369,-0.0383495,0.00765384,-0.00127582,-0.99997,0,0,0,0.000377536,0.0069114,0.00384247,-0.00844586,-0.0220135,0.000620008,0.00398338,-0.00483906,-0.0234195,-0.0326244,0.0250311,0.027792,-0.09198,0.0678101,-0.176579,0.038269,-0.0516968,-0.0906372,0.0342407,0.00738525,0.180838,0.0543714,-0.25253,-0.138146,-0.125299,-0.0765786,-0.00889046,-0.0624651,-0.440708,-0.0832869,0.0122892,0.177885,0.655644,0.0956227,-0.443345,-0.479483","-0.127909,-0.0671463,0.0236512,-0.0457032,-0.470784,-0.122453,0.0343882,0.193437,0.664875,0.143153,-0.524751,-0.485068","0.338023,-0.386787,-0.364087,0.358574,0.0123039,0.0993869,-0.121403,-0.0816406,2.04411,1.82668,-1.98571,-1.96917","0.338023,-0.386787,-0.364087,0.358574,0.0123039,0.0993869,-0.121403,-0.0816406,2.04411,1.82668,-1.98571,-1.96917","0.365508,-0.372358,-0.369169,0.368395,0.113465,0.125699,-0.128792,-0.123206,1.80595,1.7754,-1.79774,-1.79542","-0.00486997,-0.00926971,-0.00301179,0.00684068,0.00547866,-0.00492078,-0.00277559,0.011633,0.0779676,0.0627663,-0.0724502,-0.0747292","-0.00072065,-5.31375e-05,0.0010983,0.000275165,-0.00326858,-0.00179365,0.000837848,0.00143916,0.00602674,0.00358295,-0.00847602,-0.00433922",0.0779676,0,1,1,"0.370378,-0.363089,-0.366158,0.361554,0.107986,0.13062,-0.126017,-0.134839,1.72798,1.71264,-1.72529,-1.72069","-0.09198,0.0678101,-0.176579,0.038269,-0.0516968,-0.0906372,0.0342407,0.00738525,0.301456,0.0906372,-0.420967,-0.230289","-0.175097,-0.414267,-0.185991,0.246693,0.376394,-0.150194,-0.168871,0.438652,2.724,2.38988,-2.48949,-2.84799"
8,0.160554,20.0654,0.777236,10,1,1,"-0.0351537,-0.0532632,-0.0479369,0.00556713,-0.000133093,-0.999985,0,0,0,-0.000390172,0.0069114,0.0034591,-0.00844586,-0.0227803,0.000235677,0.0036,-0.00483906,-0.018817,-0.0305535,0.020658,0.025491,-0.0127563,-0.0261841,0.0409546,-0.0476685,-0.202091,-0.238346,-0.0785522,0.192692,0.251724,0.159895,-0.217085,-0.114786,-0.127909,-0.0671463,0.0236512,-0.0457032,-0.470784,-0.122453,0.0343882,0.193437,0.664875,0.143153,-0.524751,-0.485068","-0.130862,-0.0493717,0.0138479,-0.0335572,-0.415843,-0.121873,0.0175105,0.156498,0.680888,0.178522,-0.591651,-0.530763","0.337285,-0.382343,-0.366538,0.361611,0.0260393,0.0995317,-0.125622,-0.0908755,2.05078,1.84142,-2.01359,-1.98822","0.337285,-0.382343,-0.366538,0.361611,0.0260393,0.0995317,-0.125622,-0.0908755,2.05078,1.84142,-2.01359,-1.98822","0.364747,-0.371982,-0.369444,0.368653,0.113309,0.125108,-0.129297,-0.123718,1.81258,1.77896,-1.80661,-1.80253","-0.0048624,-0.0088931,-0.00290325,0.00709894,0.00608905,-0.00512747,-0.00289716,0.0111206,0.0769266,0.0628777,-0.0740247,-0.0780072","-0.000760138,0.000376612,-0.000274837,0.000258267,-0.000156358,-0.000591025,-0.000504941,-0.000512339,0.00663126,0.00356364,-0.0088644,-0.0071137",0.0780072,0,1,1,"0.36961,-0.363089,-0.366541,0.361554,0.10722,0.130236,-0.1264,-0.134839,1.73565,1.71609,-1.73258,-1.72453","-0.0127563,-0.0261841,0.0409546,-0.0476685,-0.202091,-0.238346,-0.0785522,0.192692,0.419624,0.266544,-0.361881,-0.191349","-0.142931,-0.426199,-0.150713,0.358755,0.262257,-0.179766,-0.123217,0.442802,2.67367,2.30843,-2.51232,-2.81582"
9,0.180619,20.0655,0.788308,10,1,1,"-0.00426106,-0.0553938,-0.0532632,0.00368189,-0.000143431,-0.999993,0,0,0,-0.00115693,0.0069114,0.0034591,-0.00882924,-0.0231637,-0.000914454,0.0036,-0.00483906,-0.0130641,-0.0275614,0.0155956,0.0215785,-0.0275269,-0.0678101,0.0785522,-0.0154419,0.0986938,-0.134953,-0.0772095,-0.20612,0.374161,0.123647,-0.274278,-0.102704,-0.130862,-0.0493717,0.0138479,-0.0335572,-0.415843,-0.121873,0.0175105,0.156498,0.680888,0.178522,-0.591651,-0.530763","-0.152498,-0.0546004,0.0196403,-0.0194207,-0.463687,-0.124288,0.0648144,0.198124,0.68276,0.180459,-0.631426,-0.546685","0.331875,-0.38365,-0.36509,0.365145,0.0140781,0.0989279,-0.113796,-0.0804689,2.05156,1.84223,-2.03017,-1.99485","0.331875,-0.38365,-0.36509,0.365145,0.0140781,0.0989279,-0.113796,-0.0804689,2.05156,1.84223,-2.03017,-1.99485","0.363114,-0.372465,-0.369113,0.369123,0.109062,0.124388,-0.127073,-0.121054,1.81841,1.7806,-1.81455,-1.80817","-0.00572911,-0.00937685,-0.00257224,0.0079523,0.002226,-0.00469775,-0.000673324,0.0137853,0.0731713,0.0595286,-0.0735271,-0.077122","-0.00163347,-0.000483751,0.000331014,0.000469983,-0.00424644,-0.000720412,0.00222383,0.00266468,0.00583482,0.00163865,-0.00794148,-0.00563693",0.077122,0,1,1,"0.368843,-0.363089,-0.366541,0.361171,0.106836,0.129086,-0.1264,-0.134839,1.74524,1.72108,-1.74102,-1.73105","-0.0275269,-0.0678101,0.0785522,-0.0154419,0.0986938,-0.134953,-0.0772095,-0.20612,0.623726,0.20612,-0.457222,-0.171207","-0.189625,-0.378988,-0.158495,0.272633,0.267445,-0.145006,-0.146044,0.467186,2.55849,2.25032,-2.58547,-2.88742"
