tick,t_sec,loop_dt_ms,infer_ms,history_valid,history_full,control_enabled,single_obs,raw_action,desired_abs,clipped_abs,cmd_sent_abs,cmd_minus_pos,cmd_delta,max_track_err,clamp_count,imu_fresh,motors_fresh,motor_pos_abs,motor_vel_abs,motor_torque
0,1.6e-07,0.00016,0,10,1,0,"0,-0,0,-0.000736449,-0.00201998,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0840043,0.0874566,0.0543252,0.0577775,-0.0531751,-0.0554763,-0.00109827,-0.00224874,0.00109827,0.000177777,-0.262516,-0.0221558,-0.0342407,0.0906372,-0.00469971,-0.050354,0.038269,-0.0892944,0.0503439,-0.0165128,-0.00443027,0.0414834,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454004,0.457457,0.184325,0.187778,-0.183175,-0.185476,1.76519,1.76327,-1.76519,-1.76672","-0.262516,-0.0221558,-0.0342407,0.0906372,-0.00469971,-0.0154419,0.038269,-0.0892944,0.0839233,-0.0275269,-0.00738525,0.0691528","-0.96524,0.843321,0.882231,-0.914396,-0.582361,-0.630091,0.559532,0.584436,0.0215302,0.0438385,-0.00752258,-0.0277557"
1,0.0200634,20.0632,0,10,1,0,"0,-0,0,-0.00073625,-0.00202003,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0840043,0.0874566,0.0543252,0.0577775,-0.0531751,-0.0554763,-0.00109827,-0.00224874,0.00109827,0.000407757,-0.0879517,0.0825806,0.0490112,0.113464,0.0678101,0.164494,0.0140991,0.144352,0.0277899,0.0890104,0.0294009,0.0455109,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454004,0.457457,0.184325,0.187778,-0.183175,-0.185476,1.76519,1.76327,-1.76519,-1.76634","-0.0879517,0.0825806,0.0490112,0.113464,0.0678101,0.164494,0.0140991,0.144352,0.0463257,0.14838,0.0490112,0.0758667","-0.950714,0.840727,0.908689,-0.908689,-0.566797,-0.619196,0.559532,0.576654,0.0272369,0.0360565,0.00492859,-0.00233459"
2,0.0401245,20.0611,0,10,1,0,"0,-0,0,-0.000736304,-0.00202,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0840043,0.0874566,0.0543252,0.0577775,-0.0535585,-0.0554763,-0.00132825,-0.00224874,0.00109827,0.000407757,-0.0114136,0.0342407,0.0570679,0.130924,0.0342407,0.152409,-0.0812378,-0.0476685,-0.0326229,-0.00523577,0.00845778,0.00523577,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454004,0.457457,0.184325,0.187778,-0.183558,-0.185476,1.76481,1.76327,-1.76519,-1.76634","-0.0114136,0.0342407,0.0570679,0.130924,0.0342407,0.152409,-0.0812378,-0.0476685,-0.0543823,-0.00872803,0.0140991,0.00872803","-0.942932,0.870298,0.8869,-0.921659,-0.569391,-0.615046,0.557457,0.58703,0.0111542,0.0360565,-0.0277557,-0.0158234"
3,0.0601941,20.0696,0,10,1,0,"0,-0,0,-0.000721049,-0.00207908,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0840043,0.0874566,0.0543252,0.0577775,-0.0535585,-0.0554763,-0.00109827,-0.00224874,0.00109827,0.000177777,0.0866089,0.0584106,0.079895,0.0234985,-0.000671387,-0.079895,-0.0704956,-0.0369263,-0.0318174,-0.106731,0.00604127,-0.0737035,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454004,0.457457,0.184325,0.187778,-0.183558,-0.185476,1.76519,1.76327,-1.76519,-1.76672","0.0866089,0.0584106,0.079895,0.0234985,-0.000671387,-0.079895,-0.0704956,-0.0369263,-0.0530396,-0.177921,0.0100708,-0.122864","-0.950714,0.890532,0.871855,-0.929441,-0.568354,-0.584436,0.555901,0.581324,0.0132294,0.0277557,-0.0241241,-0.0106354"
4,0.0802572,20.0631,0,10,1,0,"0,-0,0,-0.00072116,-0.00207901,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0840043,0.0874566,0.0543252,0.0577775,-0.0535585,-0.0554763,-0.00109827,-0.00201876,0.00109827,0.000407757,-0.038269,-0.101379,0.00335693,0.0490112,0.00738525,0.105408,0.0704956,0.0355835,0.0229568,-0.0205403,0.0237623,0.0285954,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454004,0.457457,0.184325,0.187778,-0.183558,-0.185476,1.76519,1.76365,-1.76519,-1.76634","-0.038269,-0.101379,0.00335693,0.0490112,0.00738525,0.105408,0.0704956,0.0355835,0.038269,-0.0342407,0.0396118,0.0476685","-0.943451,0.89572,0.884306,-0.919584,-0.564203,-0.609339,0.554344,0.572504,0.0293121,0.0334625,-0.0210114,-0.00700378"
5,0.100318,20.0606,0,10,1,0,"0,-0,0,-0.000721216,-0.00207897,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0843877,0.0874566,0.0543252,0.0577775,-0.0535585,-0.0554763,-0.00109827,-0.00224874,0.00109827,0.000177777,-0.230289,-0.00335693,-0.101379,0.0396118,0.0866089,0.00469971,-0.204777,-0.0986938,-0.0132908,-0.0326229,-0.058399,-0.0165128,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454388,0.457457,0.184325,0.187778,-0.183558,-0.185476,1.76519,1.76327,-1.76519,-1.76672","-0.230289,-0.00335693,-0.101379,0.0396118,0.0866089,0.00469971,-0.204777,-0.0986938,-0.0221558,-0.0543823,-0.0973511,-0.0275269","-0.946045,0.88275,0.870817,-0.930998,-0.559532,-0.61764,0.562126,0.576136,0.022049,0.0282745,-0.019455,-0.0267181"
6,0.120381,20.0629,0,10,1,0,"0,-0,0,-0.000721365,-0.00207895,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0840043,0.0874566,0.0543252,0.0577775,-0.0535585,-0.0554763,-0.00109827,-0.00201876,0.00109827,0.000177777,0.110779,-0.113464,0.00469971,-0.207462,0.0463257,-0.0731812,-0.0328979,-0.0691528,-0.0245678,0.0882049,-0.0181238,-0.00765228,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454004,0.457457,0.184325,0.187778,-0.183558,-0.185476,1.76519,1.76365,-1.76519,-1.76672","0.110779,-0.113464,0.00469971,-0.207462,0.0463257,-0.0731812,-0.0328979,-0.0691528,-0.0409546,0.147038,-0.0302124,-0.0127563","-0.960052,0.867186,0.863554,-0.918028,-0.564203,-0.612452,0.555901,0.581324,0.0215302,0.0184174,-0.0428009,-0.0132294"
7,0.140445,20.0644,0,10,1,0,"0,-0,0,-0.000721421,-0.00207892,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0840043,0.0874566,0.0543252,0.0577775,-0.0535585,-0.0554763,-0.00109827,-0.00201876,0.00109827,0.000177777,0.0570679,-0.0328979,-0.0879517,-0.0396118,-0.0463257,0.0597534,-0.062439,0.0342407,0.066454,-0.0132908,0.00120825,-0.0189293,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454004,0.457457,0.184325,0.187778,-0.183558,-0.185476,1.76519,1.76365,-1.76519,-1.76672","0.0570679,-0.0328979,-0.0879517,-0.0396118,-0.0463257,0.0597534,-0.062439,0.0342407,0.110779,-0.0221558,0.00201416,-0.0315552","-0.935148,0.863035,0.879118,-0.954346,-0.573023,-0.606745,0.558495,0.584436,0.0334625,0.0111542,-0.0334625,-0.0241241"
8,0.160508,20.0629,0,10,1,0,"0,-0,0,-0.000721477,-0.00207888,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0843877,0.0874566,0.0543252,0.0577775,-0.0535585,-0.0554763,-0.00109827,-0.00224874,0.00109827,0.000407757,-0.0221558,-0.00469971,0.0127563,0.0516968,-0.0328979,0.020813,0.00469971,0.143009,0.0173183,0.0374559,-0.0342339,0.00281926,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454388,0.457457,0.184325,0.187778,-0.183558,-0.185476,1.76519,1.76327,-1.76519,-1.76634","-0.0221558,-0.00469971,0.0127563,0.0516968,-0.0328979,0.020813,0.00469971,0.143009,0.0288696,0.062439,-0.0570679,0.00469971","-0.946564,0.867704,0.836058,-0.927885,-0.580805,-0.616083,0.569391,0.567316,0.0101166,0.0210114,-0.0236053,-0.0163422"
9,0.180567,20.0592,0,10,1,0,"0,-0,0,-0.00072157,-0.0020789,-0.999998,0,0,0,0.0897588,-0.0843877,-0.0843877,0.0874566,0.0543252,0.0577775,-0.0531751,-0.0554763,-0.00109827,-0.00201876,0.00109827,0.000177777,-0.104065,-0.0651245,0.0664673,0.0825806,-0.0140991,-0.00872803,0.0140991,0.0584106,0.0197348,0.101093,-0.0414834,-0.063232,0,0,0,0,0,0,0,0,0,0,0,0","","","","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",0,0,1,1,"0.459759,-0.454388,-0.454388,0.457457,0.184325,0.187778,-0.183175,-0.185476,1.76519,1.76365,-1.76519,-1.76672","-0.104065,-0.0651245,0.0664673,0.0825806,-0.0140991,-0.00872803,0.0140991,0.0584106,0.0328979,0.168522,-0.0691528,-0.105408","-0.962128,0.879637,0.875486,-0.929441,-0.557976,-0.63476,0.548119,0.574579,0.0163422,0.0402069,-0.0121918,-0.0163422"
