tick,t_sec,loop_dt_ms,infer_ms,history_valid,history_full,control_enabled,single_obs,raw_action,desired_abs,clipped_abs,cmd_sent_abs,cmd_minus_pos,cmd_delta,max_track_err,clamp_count,imu_fresh,motors_fresh,motor_pos_abs,motor_vel_abs,motor_torque
0,1.28e-07,0.000128,1.01228,10,1,0,"0,-0,0,0.00131464,-0.00501842,-0.999987,0,0,0,0.020708,-0.0214757,-0.0195578,0.0214757,0.0148126,0.0144292,-0.0144292,-0.0174981,0.000742716,0.00281368,0.000637738,-5.27753e-05,0.176579,-0.00201416,-0.0167847,0.0584106,0.109436,-0.00469971,-0.137638,-0.0100708,0.0737035,-0.0149018,-0.0559825,0.0132908,0,0,0,0,0,0,0,0,0,0,0,0","-0.165692,-0.0671039,-0.0919868,-0.121806,-0.201302,0.0399392,-0.172453,0.210819,0.66239,0.0390222,-0.299405,-0.524345","0.328577,-0.386776,-0.392997,0.339549,0.0796745,0.139985,-0.173113,-0.0772952,2.04307,1.78328,-1.8918,-1.98554","0.328577,-0.386776,-0.392997,0.339549,0.0796745,0.139985,-0.173113,-0.0772952,2.04307,1.78328,-1.8918,-1.98554","","","",0.274813,0,1,1,"0.390325,-0.391476,-0.389558,0.391476,0.144813,0.144429,-0.144429,-0.147498,1.76826,1.77209,-1.76596,-1.76672","-0.0852661,-0.00201416,-0.0167847,0.0584106,0.109436,-0.00469971,-0.137638,-0.0785522,0.122864,0.0852661,-0.0597534,0.0704956","-0.885344,0.858885,0.759792,-0.928404,-0.632166,-0.633722,0.594294,0.718807,-0.0542145,-0.29961,-0.0739307,-0.0225677"
1,0.0200757,20.0755,0.851704,10,1,0,"0,-0,0,0.00131464,-0.00501842,-0.999987,0,0,0,0.0203246,-0.0214757,-0.0195578,0.0214757,0.0144292,0.0144292,-0.0144292,-0.0174981,0.000742716,0.00281368,0.000637738,0.000177777,0.137638,0.0422974,0.112122,0.156437,0.0167847,-0.113464,-0.0194702,-0.0127563,0.119619,-0.0173183,-0.00926328,0.0865939,-0.165692,-0.0671039,-0.0919868,-0.121806,-0.201302,0.0399392,-0.172453,0.210819,0.66239,0.0390222,-0.299405,-0.524345","-0.131064,-0.0915466,-0.0920756,-0.140265,-0.25978,0.00367242,-0.146128,0.171213,0.636572,0.0342762,-0.247391,-0.473905","0.337234,-0.392887,-0.393019,0.334934,0.065055,0.130918,-0.166532,-0.0871967,2.03231,1.7813,-1.87012,-1.96452","0.337234,-0.392887,-0.393019,0.334934,0.065055,0.130918,-0.166532,-0.0871967,2.03231,1.7813,-1.87012,-1.96452","","","",0.264053,0,1,1,"0.390325,-0.391476,-0.389558,0.391476,0.144813,0.144429,-0.144429,-0.147498,1.76826,1.77209,-1.76596,-1.76711","0.0328979,0.0422974,0.112122,0.156437,-0.00201416,-0.113464,-0.0194702,-0.0127563,0.199406,0.0610962,0.0691528,-0.137638","-0.867186,0.89572,0.770168,-0.864073,-0.634241,-0.628534,0.581324,0.725033,-0.0511017,-0.229053,-0.0360565,0.0713367"
2,0.0401497,20.074,0.808985,10,1,0,"0,-0,0,0.00130823,-0.00495773,-0.999987,0,0,0,0.020708,-0.0214757,-0.0191745,0.0214757,0.0144292,0.0144292,-0.0144292,-0.0174981,0.000742716,0.00281368,0.000637738,0.000177777,0.156437,-0.0154419,0.050354,0.0758667,-0.0288696,0.0194702,0.0127563,0.020813,-0.0302064,-0.0245678,0.064843,0.0189293,-0.131064,-0.0915466,-0.0920756,-0.140265,-0.25978,0.00367242,-0.146128,0.171213,0.636572,0.0342762,-0.247391,-0.473905","-0.123577,-0.0932836,-0.0827191,-0.134941,-0.254951,-0.000651186,-0.13496,0.164517,0.614627,0.0185285,-0.248098,-0.473064","0.339106,-0.393321,-0.39068,0.336265,0.0662621,0.129837,-0.16374,-0.0888706,2.02317,1.77474,-1.87041,-1.96417","0.339106,-0.393321,-0.39068,0.336265,0.0662621,0.129837,-0.16374,-0.0888706,2.02317,1.77474,-1.87041,-1.96417","","","",0.254908,0,1,1,"0.390325,-0.391476,-0.389174,0.391476,0.144429,0.144429,-0.144429,-0.147498,1.76826,1.77171,-1.76596,-1.76672","0.0140991,-0.0154419,0.050354,0.0758667,-0.0288696,0.0194702,0.0127563,0.020813,-0.050354,-0.0530396,0.114807,-0.0530396","-0.860441,0.843321,0.809078,-0.89572,-0.628016,-0.609339,0.577173,0.707394,-0.0573273,-0.261738,-0.0350189,-0.0858631"
3,0.060228,20.0783,0.80124,10,1,0,"0,-0,0,0.00130183,-0.00489704,-0.999987,0,0,0,0.0203246,-0.0214757,-0.0191745,0.0214757,0.0148126,0.0144292,-0.0140458,-0.0174981,0.000742716,0.00281368,0.000867718,0.000177777,0.0167847,-0.0570679,0.00335693,0.169865,0.0678101,-0.152409,0.0758667,0.00469971,0.0382614,-0.0149018,0.0511494,0.0342339,-0.123577,-0.0932836,-0.0827191,-0.134941,-0.254951,-0.000651186,-0.13496,0.164517,0.614627,0.0185285,-0.248098,-0.473064","-0.121473,-0.102114,-0.076203,-0.143209,-0.314181,0.000176439,-0.113244,0.181522,0.624478,0.00585019,-0.258054,-0.46395","0.339632,-0.395529,-0.389051,0.334198,0.0514548,0.130044,-0.158311,-0.0846196,2.02727,1.76946,-1.87456,-1.96037","0.339632,-0.395529,-0.389051,0.334198,0.0514548,0.130044,-0.158311,-0.0846196,2.02727,1.76946,-1.87456,-1.96037","","","",0.259013,0,1,1,"0.390325,-0.391476,-0.389174,0.391476,0.144813,0.144429,-0.144046,-0.147498,1.76826,1.77171,-1.76596,-1.76672","0.0167847,-0.0570679,0.00335693,0.169865,0.0678101,-0.152409,0.0758667,0.00469971,0.0637817,-0.0154419,-0.00335693,0.0463257","-0.861998,0.893126,0.805447,-0.908689,-0.621271,-0.627497,0.589624,0.735928,-0.0728931,-0.24358,-0.0796375,-0.00544739"
4,0.080294,20.0661,0.797464,10,1,0,"0,-0,0,0.00130793,-0.00495778,-0.999987,0,0,0,0.0203246,-0.0214757,-0.0195578,0.0214757,0.0144292,0.0144292,-0.0144292,-0.0174981,0.000512736,0.00281368,0.000637738,-5.27753e-05,0.0328979,-0.0718384,0.0584106,0.0678101,-0.118835,-0.0664673,-0.050354,0.00738525,-0.0608155,-0.0165128,0.0382614,-0.0575935,-0.121473,-0.102114,-0.076203,-0.143209,-0.314181,0.000176439,-0.113244,0.181522,0.624478,0.00585019,-0.258054,-0.46395","-0.13541,-0.0974904,-0.0711685,-0.128985,-0.309173,-0.00125935,-0.0822067,0.201197,0.617872,0.0137477,-0.288392,-0.479599","0.336147,-0.394373,-0.387792,0.337754,0.0527068,0.129685,-0.150552,-0.0797008,2.02452,1.77275,-1.88721,-1.96689","0.336147,-0.394373,-0.387792,0.337754,0.0527068,0.129685,-0.150552,-0.0797008,2.02452,1.77275,-1.88721,-1.96689","","","",0.256644,0,1,1,"0.390325,-0.391476,-0.389558,0.391476,0.144429,0.144429,-0.144429,-0.147498,1.76787,1.77209,-1.76596,-1.76711","0.0328979,-0.0718384,0.0584106,0.0678101,-0.0342407,-0.0664673,-0.050354,0.00738525,-0.101379,-0.00604248,-0.00201416,-0.0960083","-0.850065,0.88275,0.788845,-0.904539,-0.631647,-0.609339,0.581324,0.731258,-0.0744495,-0.215046,-0.0791187,-0.0453949"
5,0.100364,20.0699,0.786969,10,1,0,"0,-0,0,0.00130793,-0.00495778,-0.999987,0,0,0,0.0203246,-0.0214757,-0.0191745,0.0214757,0.0144292,0.0144292,-0.0144292,-0.0174981,0.000742716,0.00281368,0.000637738,-5.27753e-05,-0.00604248,-0.0396118,-0.0839233,0.0933228,0.00201416,0.0302124,-0.0704956,0.0288696,-0.0334284,-0.0108743,-0.0342339,0.0132908,-0.13541,-0.0974904,-0.0711685,-0.128985,-0.309173,-0.00125935,-0.0822067,0.201197,0.617872,0.0137477,-0.288392,-0.479599","-0.139012,-0.101145,-0.0535431,-0.122024,-0.325664,-0.0172506,-0.0703054,0.211683,0.624165,0.0264501,-0.320401,-0.497446","0.335247,-0.395286,-0.383386,0.339494,0.0485839,0.125687,-0.147576,-0.0770793,2.02714,1.77804,-1.90055,-1.97433","0.335247,-0.395286,-0.383386,0.339494,0.0485839,0.125687,-0.147576,-0.0770793,2.02714,1.77804,-1.90055,-1.97433","","","",0.258883,0,1,1,"0.390325,-0.391476,-0.389174,0.391476,0.144429,0.144429,-0.144429,-0.147498,1.76826,1.77171,-1.76596,-1.76711","-0.00604248,-0.0396118,-0.0839233,0.0933228,0.00201416,0.0302124,-0.0704956,0.0288696,-0.0557251,-0.145695,-0.020813,-0.0114136","-0.849546,0.866667,0.76965,-0.913359,-0.622828,-0.626459,0.585474,0.709988,-0.0474701,-0.224384,-0.0671864,-0.00907898"
6,0.120428,20.064,0.791833,10,1,0,"0,-0,0,0.00137489,-0.00501224,-0.999987,0,0,0,0.0203246,-0.0214757,-0.0195578,0.0214757,0.0148126,0.0144292,-0.0140458,-0.0171148,0.000742716,0.00281368,0.000637738,0.000177777,-0.0234985,0.0154419,0.109436,-0.184635,0.126896,0.165836,-0.0610962,-0.0154419,-0.00443027,-0.0294009,-0.0285954,0.0390669,-0.139012,-0.101145,-0.0535431,-0.122024,-0.325664,-0.0172506,-0.0703054,0.211683,0.624165,0.0264501,-0.320401,-0.497446","-0.144874,-0.103975,-0.052334,-0.0928333,-0.3776,-0.0354073,-0.049402,0.234383,0.635806,0.0453671,-0.362971,-0.530652","0.333782,-0.395994,-0.383084,0.346792,0.0356001,0.121148,-0.14235,-0.0714043,2.03199,1.78593,-1.91829,-1.98817","0.333782,-0.395994,-0.383084,0.346792,0.0356001,0.121148,-0.14235,-0.0714043,2.03199,1.78593,-1.91829,-1.98817","","","",0.263734,0,1,1,"0.390325,-0.391476,-0.389558,0.391476,0.144813,0.144429,-0.144046,-0.147115,1.76826,1.77171,-1.76596,-1.76711","-0.0234985,0.0154419,0.109436,-0.184635,0.126896,0.165836,-0.0610962,-0.0154419,-0.00738525,-0.0530396,-0.0516968,-0.0140991","-0.863554,0.866667,0.803371,-0.910765,-0.626978,-0.640467,0.592218,0.698055,-0.0438385,-0.273151,-0.06563,-0.00648499"
7,0.140513,20.0847,0.809913,10,1,0,"0,-0,0,0.00136833,-0.00495158,-0.999987,0,0,0,0.0203246,-0.0214757,-0.0195578,0.0214757,0.0148126,0.0144292,-0.0144292,-0.0174981,0.000742716,0.00304423,0.000637738,0.000177777,0.185978,0.0960083,-0.0315552,-0.0866089,0.0986938,0.18195,-0.200748,-0.0248413,0.0575935,0.0978709,-0.0479274,0.0463164,-0.144874,-0.103975,-0.052334,-0.0928333,-0.3776,-0.0354073,-0.049402,0.234383,0.635806,0.0453671,-0.362971,-0.530652","-0.160621,-0.0898096,-0.0321411,-0.0771285,-0.384767,-0.0469093,-0.0135951,0.258451,0.634671,0.0590174,-0.421535,-0.536081","0.329845,-0.392452,-0.378035,0.350718,0.0338084,0.118273,-0.133399,-0.0653872,2.03152,1.79162,-1.94269,-1.99043","0.329845,-0.392452,-0.378035,0.350718,0.0338084,0.118273,-0.133399,-0.0653872,2.03152,1.79162,-1.94269,-1.99043","","","",0.263261,0,1,1,"0.390325,-0.391476,-0.389558,0.391476,0.144813,0.144429,-0.144429,-0.147498,1.76826,1.77209,-1.76596,-1.76672","0.185978,0.0960083,-0.0315552,-0.0866089,0.0986938,-0.0221558,-0.200748,-0.0248413,0.0960083,0.0476685,-0.0906372,0.0772095","-0.862516,0.845915,0.786251,-0.896757,-0.648249,-0.629572,0.58703,0.725552,-0.0946827,-0.25655,-0.0495453,-0.0298309"
8,0.160579,20.0661,0.800377,10,1,0,"0,-0,0,0.00130733,-0.00495803,-0.999987,0,0,0,0.0203246,-0.0214757,-0.0191745,0.0214757,0.0144292,0.0144292,-0.0140458,-0.0174981,0.000742716,0.00281368,0.000637738,-5.27753e-05,-0.199406,-0.129581,0.0449829,-0.00201416,0.062439,0.0275269,0.128239,-0.0839233,-0.0382614,-0.0882049,0.058399,-0.0213458,-0.160621,-0.0898096,-0.0321411,-0.0771285,-0.384767,-0.0469093,-0.0135951,0.258451,0.634671,0.0590174,-0.421535,-0.536081","-0.141823,-0.0590719,-0.0168745,-0.0683991,-0.37369,-0.0607317,-0.0270488,0.237562,0.667519,0.118935,-0.527759,-0.552513","0.334544,-0.384768,-0.374219,0.3529,0.0365775,0.114817,-0.136762,-0.0706095,2.04521,1.81659,-1.98696,-1.99728","0.334544,-0.384768,-0.374219,0.3529,0.0365775,0.114817,-0.136762,-0.0706095,2.04521,1.81659,-1.98696,-1.99728","","","",0.27695,0,1,1,"0.390325,-0.391476,-0.389174,0.391476,0.144429,0.144429,-0.144046,-0.147498,1.76826,1.77171,-1.76596,-1.76711","-0.199406,-0.129581,0.0449829,-0.00201416,0.062439,0.0275269,0.128239,-0.0839233,-0.0637817,-0.0449829,-0.0718384,-0.11615","-0.850584,0.861998,0.807522,-0.914396,-0.627497,-0.610895,0.594812,0.7131,-0.0760059,-0.202595,-0.0853443,-0.0121918"
9,0.180644,20.0656,0.792729,10,1,0,"0,-0,0,0.00130063,-0.00489739,-0.999987,0,0,0,0.0203246,-0.0214757,-0.0191745,0.0214757,0.0148126,0.0144292,-0.0144292,-0.0174981,0.000742716,0.00281368,0.000637738,0.000177777,-0.0221558,0.00335693,0.202091,-0.151066,0.153751,0.0758667,-0.0449829,-0.0234985,-0.0398724,0.0253733,0.0455109,0.0608155,-0.141823,-0.0590719,-0.0168745,-0.0683991,-0.37369,-0.0607317,-0.0270488,0.237562,0.667519,0.118935,-0.527759,-0.552513","-0.16154,-0.0601637,-0.0204253,-0.0418084,-0.383889,-0.0516843,-0.00318679,0.262683,0.699556,0.125855,-0.573716,-0.591462","0.329615,-0.385041,-0.375106,0.359548,0.0340278,0.117079,-0.130797,-0.0643291,2.05856,1.81947,-2.00612,-2.01351","0.329615,-0.385041,-0.375106,0.359548,0.0340278,0.117079,-0.130797,-0.0643291,2.05856,1.81947,-2.00612,-2.01351","","","",0.290302,0,1,1,"0.390325,-0.391476,-0.389174,0.391476,0.144813,0.144429,-0.144429,-0.147498,1.76826,1.77171,-1.76596,-1.76711","-0.0221558,0.00335693,0.202091,-0.151066,0.153751,0.0758667,-0.0449829,-0.0234985,-0.0664673,0.152409,-0.0355835,-0.0194702","-0.868223,0.865629,0.797146,-0.905577,-0.629053,-0.602076,0.579248,0.724514,-0.0412445,-0.216084,-0.0692616,-0.0251617"
